sequence,label,length
)((()))()()(()()()(()))((,0,25
())))(()())(((((),0,17
(())(()()())((()()((())))),1,26
)((()((()())()))(),0,18
(()((()(()())())))(())(),1,24
(((()(((()(()))))))),1,20
(()))(())()))(,0,14
((((((()))()((()(,0,17
((()))()()(())(((()(()()())))),1,30
()((((()())()(()))))()(())((())),1,32
()()()(((())())())(())()((())()),1,32
((()(()()()(())())(()))),1,24
)((((((()()))())())()()(())()),0,30
(((()()))()(((()())((,0,21
)())((())()((())(((,0,19
(()((()()(())))())((()())),1,26
((((())()())))()()()()(()),1,26
()((()))((())()))))))(()(((()(,0,30
)))))((())))((((()(((),0,22
)())(())()()()()),0,17
()(())(()(((()))(()()()()()))),1,30
(()(()())())()(()),1,18
()(()((((())())(()(()))))),1,26
)()))(()())(((),0,15
())))())(())),0,13
(())()((()))()(())(),1,20
)(()((()()()(()(()))()(,0,23
)(()()))))(()(()()())(()()((,0,28
()(())(()(())(())()())()()(()),1,30
(()))()))))()(,0,14
)(())()(()()())(,0,16
())((())())()(,0,14
)(()()(())((),0,13
()(())()(())()((())()()(()()())),1,32
(())(())()(()(()())()()),1,24
(())()()(())(()((()))),1,22
((((()))))(())()(()(())()(())),1,30
()))(())(),0,10
()()(()()(())(())()),1,20
)((())()()))())((())())()(())((,0,31
()(()()())(()())()()(()(()))(),1,30
()())(()))()))()))(()(),0,23
()()()()(()(())())(()()())(),1,28
)))))()(()()))(),0,16
((()((()(((,0,11
)(((((())))))(())((),0,20
()()((())())(((()))),1,20
()(((()(()))()(((()()((()))))))),1,32
)()()()))(()(((()())((())))((),0,30
((()(())(()())))(((((()()))))),1,30
())((())((())()()((())(,0,23
)(()))()((((()()()())))((,0,25
(())(()))((()),0,14
()(()())(()))(()(())(((,0,23
()((()(())()))(())((()())(())),1,30
(())(())((,0,10
(())(())()((()))()()()()()()(),1,30
()()((())(((((,0,14
)))))(()())()())()()(,0,21
(())()(((()(())))),1,18
)((()()))((())())()))(((()))(,0,29
(((()())))()()(),1,16
(((()((()(()(((()))))))))),1,26
(()())(()())((()))(()),1,22
()()(()())(((()(()())))),1,24
)()()())))()()(())()))))(,0,25
))))()(()((((),0,14
((()(((()((((()()(()))())))))))),1,32
)))((()(()())(())(,0,18
)(())()()(((),0,13
)())((((((()))((((()())),0,24
()()(((()()())()))((())())(),1,28
()((((()((((((((())))))))))))),1,30
)))())))(,0,9
((((()))()))))()((,0,18
)((()((()())))))(,0,17
(()(())(())(((()((())))))),1,26
())))())),0,9
((((()(((()(())))))))),1,22
()()(((())()()))(()())(),1,24
()()(()(()()(())()()())()((()))),1,32
)())()))))))()()(,0,17
())(()(())())())((())(,0,22
())))))))((()())(),0,18
)(()()()(())))()()((,0,20
(())(((()())))((((())))),1,24
((((()((()(()(())))))))),1,24
(((()()()()((()(),0,17
()()(()())()(()(()))()(())(),1,28
(())()(()()())(),1,16
)())))()((((,0,12
(())((()())(()(,0,15
)()((()(()(()()()(()))((((),0,27
(())()()()()()()(),1,18
()()((())))((())))(())()(()(,0,28
()))))())),0,10
()()()()()()((())()((()()))),1,28
()))())()())()((()(()(()())()((),0,32
()(())()()((()(())())),1,22
(()(()())((()))((((())))))(()),1,30
()(()((()(())(())))),1,20
(((())))()(())((()())((()))),1,28
))((((())))(()))(((())(())()),0,29
))()(()()((()((,0,15
()(((()))((((((()()))))))),1,26
)(()))))()))))((()())))))((,0,27
((())()))))(),0,13
((()()()))()(()())(())()(),1,26
(((()())()))(()()((()()()()))),1,30
)()((())((()())))))(())()((()()(,0,32
(()()(()))(()((()()(())))),1,26
()()))(()(,0,10
()(()(()))(()((()(()(()))))),1,28
((())))((()(((()((()))))((()(,0,29
()))())))(((()))),0,17
()((()))()(()())()(),1,20
()))))((()()((((()))(())))((,0,28
()(((()())()((())()(())))),1,26
()(((()))))((()(())))()()),0,26
())((()()()(()),0,15
((()))()((((()))(()()((,0,23
())()(())()(((())(())),0,22
()()()((())(())())()()()()()(),1,30
(()())(()())()((()))()()()(()()),1,32
)()((()())())())()))((())())(,0,29
(()()(()((())()((()))))),1,24
()(((()())())),1,14
()()()()()()()()((()())),1,24
)))))(()()(()))(,0,16
())))(()())()()))()((())(()((((),0,32
((()(((())))))(),1,16
(())(((())()(()()))),1,20
(()())()((()))((((())()()(())))),1,32
(()()())())((((()))(((())))),0,28
((((()))))(())(),1,16
))((((())()((()))()(((),0,23
(())(())()()()((())())()(()),1,28
((()))()(()(((,0,14
)((())(())()((((()))()())()))()(,0,32
(())(())((()(((((()(())))))))),1,30
()()(()()())()()()((())(())),1,28
(((()((((())()((()(,0,19
((()()((()))))()()()(()),1,24
((())((()))(())),1,16
()()()(())()((()(())())),1,24
(((())())))((,0,13
))((())((()(()()))))(())))((((,0,30
(()))(()()()())()()(,0,20
))(())))(),0,10
()()(()))(()))()))((((,0,22
(()())))))))()),0,15
()()()((())()()),1,16
)(((()((()())))((())()((),0,25
)())((())))))())(((())())((()(),0,31
())())(((())(((()())()))))())(((,0,32
()()((()))()((()))(()),1,22
(()((()())()((()))()(((())())))),1,32
)()))(()(())(((((()()))))((),0,28
()()()()()((()()))((()))()(()),1,30
()()()()((())()(())())()()()(),1,30
)()))(())))()())((())(),0,23
((((((((()(()))()()()))))))),1,28
)))()(()()))))),0,15
()()()()()((())()()()())()(),1,28
((())(()(()((()))))),1,20
))()()((()(()))())))))),0,23
()()()()()((((())(())()))),1,26
)()((()))()(,0,12
))))))())(())()((()())(())))()(,0,31
()()(()()()())()((()()))(())()(),1,32
(()())(((()(((()),0,17
((()())((((((()()))))))),1,24
))))))(()()((()(((((())(()))(),0,30
((()()())())()(())(((((()()))))),1,32
))))())))((()(())(()(())(,0,25
()()()()((())()()),1,18
()()((((((((()))((()())))))))),1,30
))((()())(())(()(())()()))),0,27
)(((()(())()(())))((()()()))())),0,32
(((((()()()()))))),1,18
()()()()(()())((()))()(()),1,26
(()())(((((()))))),1,18
(((())()()((()())))())((())())(),1,32
()(((((())))))()()(),1,20
)())))(((()()(,0,14
(()((()()))),1,12
()(())(())()()(()),1,18
(()()()())((()()))(())((())),1,28
()((())()()(())(()(()))),1,24
())))()()(())())()()),0,21
(()(()())(((,0,12
()((())))))(()(((),0,18
)())())()()(((((()))(()))(,0,26
(()()(((((())())()())(),0,23
())())()())(()(),0,16
)()))()()()())(((()(,0,20
(()()(())()((()((()())((())))))),1,32
(())()(()())()(()((((()))))),1,28
()(())()((())((()(())))),1,24
)(()((()(()())(()())())(())))(),0,31
(())()()(((()((())())))),1,24
()(())()()()(())(()(())),1,24
())((()())(),0,12
()()()(())((()()))((((())))),1,28
)))(())(())()((((()(()(())),0,27
(()((((())(()()))())))(((()))),1,30
((()))))((()())()(,0,18
(()((())((()()((())))))()),1,26
()(())()((()))(())()(()),1,24
()()(()(((()))()())),1,20
)()))(((()()))))))()(((()),0,26
(()(())((()))()))(,0,18
()((()))()()((((()))()(()))),1,28
(((()))()()(),0,13
()(())(())(())()()((())),1,24
(()())()(())()((())(())(()())()),1,32
((((())())))(())))((,0,20
((()(())()())))())()))(()((((),0,30
()))())(()()))((()(((((((),0,26
()(()()))()()()))((()()())(((),0,30
()(())))(()()()())((,0,20
(()())(()(())()()()()),1,22
()()()(()()())(())(((((()))))),1,30
(())(()()()())()(),1,18
(((()(())()(())))),1,18
()()()(())()()()()(())()()(),1,28
()(((())((()))(((((()()))))))),1,30
)(()))(())())((()))()(())))(()),0,31
(()()())(()((())(())())()),1,26
(()((())))(())((())((())(()))),1,30
(()())()()((())((()(())))),1,26
))(()(())))()(())))())()())(((),0,31
(()()))(()(((())))),0,19
))((()()()(((())(()))))(()(,0,27
)()))())((((,0,12
()()(((((())))(()))),1,20
(()(((()((()())()((,0,19
()()()()))()()()())(),0,21
()()(()()()((()(((()))((())))))),1,32
)(((()))))(()()))))(()()((((,0,28
(())()()()(())((()()()())),1,26
))()))))()(((()))(((((,0,22
(())(()((())((()()(()()(())))))),1,32
(())()((((((((((()())))))))))),1,30
)((())))())(((())()),0,20
((()()(())))()(((())()(()))),1,28
(())(()(((())))),1,16
((()))()()((()()))(((()(()(((,0,29
((()))()(())(((())))(),1,22
)))()(())((((()),0,16
()(()((((())))))())())(())((,0,28
)((())()()))(())()))),0,21
((()()(())((()))(()((())))()())),1,32
()()(()(()))()(())()()()(())(),1,30
()((()()())())),0,15
()))((()))(()(,0,14
()(()(()))()((()()()(())())()),1,30
()((()))()()()()()((()))()(()),1,30
)()))(((()())(((),0,17
(((()()(()((((())))))))),1,24
))()(()()(((((()())))()),0,24
)())))((())()())))()(())(()))()(,0,32
)(((()()())(()(((()))))),0,24
)()()())(()))()(())())((((,0,26
())(())())))()))),0,17
()((((())())()))))),0,19
(()())()(((())))()()()(()),1,26
))))())(()))()((),0,17
))()(()())()((()))))((()()((()(),0,32
())()()(()())))))((,0,19
)(()(((((()))((((),0,18
(())((())((()()(()))(()))),1,26
()())(())((())))((()()((())()),0,30
()(())((()))()()(),1,18
(()))((())((()(,0,15
(((((()((())(((()(())))))))))),1,30
((()(((((())))(((,0,17
(()()(()()()()()((((()(()))))))),1,32
()()((((()()()()))((()()())))),1,30
)())()((()))))(,0,15
((())()()()(()((((())))))),1,26
)(()((((()())()(),0,17
)()(()(()(()),0,13
(())((()))(()()),1,16
(())))())))((()(((()(()()))()()(,0,32
()(())()()()((()(())))()(()()),1,30
(()))((()(()((()((()(,0,21
()()()()()()()((()(()))),1,24
()(()(())(())),1,14
((()())()(())))(())((())),0,25
()()()()(((()(()(()((()))))))),1,30
(()())(((()()))(),0,17
)))((((()()()(((())((,0,21
()(()(()))()(()()())(),1,22
))((((()()())))())()(()())((,0,28
((()))))((()())(()(((),0,22
)(((()))())()()(,0,16
(()(())())(()((()())(())))(()),1,30
(()(())()())()()(),1,18
()(()()()(()()))))()())(,0,24
()()()()((()(()(()())()()))),1,28
()(())()()((()()((((((())))))))),1,32
()()((()()))(())()(())()(),1,26
))()))()()((()(((())))()(()((,0,29
(()((())())))())(,0,17
((()((()))))))))))),0,19
()()(())((()))()()(),1,20
(((()(()))))(()()(())),1,22
(()(())(()))(())))))(((((()())(,0,31
)())((()(,0,9
(())()(((((()()()))))),1,22
(())()())(()()(()())()),0,23
(())()(()(()))()())(())),0,24
())(()()())))(()((,0,18
()()(())(()()()())()()()()(()),1,30
))())((()()(())())),0,19
()()()(()(((()()())))),1,22
(()((())()))()(),1,16
)))))))))(,0,10
)))))))))(())(()(()((()()())((),0,31
()((())())()()()((((())()))(()(,0,31
(((())(())()))(),1,16
(((()()))(()))()()(),1,20
()((()())((())(())))(),1,22
)(())(()()(((,0,13
())(()()())()))((()(()(()))())((,0,32
()()())))((())((,0,16
()(()())()((()()))((())),1,24
(())((((((())()())))())()),1,26
(((()((()(()))(((((()))))))))),1,30
)))(()(())())))((()()()(((,0,26
((()))()(())((()()(()))),1,24
()()()(((())()()))(((()(())))()),1,32
(()((())((,0,10
()()()(((((((((()))))))))),1,26
(((((()))()))()((()))),1,22
()(()))))((,0,11
(())()(()())()(()())(),1,22
()))))))())((((()(())()((,0,25
()((()((((()))(()))))),1,22
()()()(((())())(())),1,20
(((((())))(())))((())),1,22
)())(()()(()(,0,13
)()()((()()(()()((())(()())()((),0,32
)())))))))()(,0,13
()()()((()()((())))),1,20
()()((()))()()()()(())(),1,24
()()()()(((())(())())(((())))),1,30
())())())()())(((())()(()(,0,26
())()()(,0,8
()((())(((()(((())(()))))))),1,28
((()()(()(((()(()))))(())))(())),1,32
)()))(((())))))()()(((((((())),0,30
)())((()),0,9
)(()))()()))(()(((()(,0,21
)()(())(()))))(())()((()))(,0,27
)())(()((()()(()))(),0,20
))()((())(()()()())()(,0,22
)()())((()(((())))((())),0,24
(())((()())())()(),1,18
(())(()))(((((())))),0,20
(()((()(),0,9
)()))))())(())()(,0,17
((()(())(()((()())))())(())),1,28
((()(()))(())(((()(((()))))))),1,30
(())()()(()()()((((()))))),1,26
((())(()(()(((((((()())))))))))),1,32
()((((()))((()())(()())))),1,26
())())((()(((,0,13
(())((()))((((())())))(),1,24
()((()((())()()()()())))(())(()),1,32
()(()()(())())()(()),1,20
))())(()()()(())()()(((()((,0,27
(()(())(()()())),1,16
()(()()(((())()()()(())))),1,26
(())(()()())(())((())(())),1,26
(())()()()()(())(((())))(()()()),1,32
(((((())())()()))))(,0,20
()(((())()()(())))()(((()()))),1,30
((()((()(()())((()())))))),1,26
()()()(())(((()(())))),1,22
()()(((((())(()())))(),0,22
()(()()))(((()(,0,15
()()((((((()((()((())))))))))),1,30
)(()()()())(()((((()())(),0,25
(())))())()(),0,13
()()((()((())())()(()))),1,24
)(())))))())(()()()(()(((()()()(,0,32
()))(()))()))())(,0,17
()(())()()()()(()()()()())(),1,28
()()(()()(((()()(((()))))))),1,28
()(())(((((())))(),0,18
((()(())))))()()(()()(,0,22
(()()())()()()))(()(((),0,23
()((()()))()()()()()(()()),1,26
()()(((())((((()))()))(())((),0,29
()((()))()(((())(()()))),1,24
()()()(())(())((((()())(())))),1,30
(()(())))())()((((()((()(((()(,0,30
)(()))()((()(((((((,0,19
((()))())()()())),0,17
((()()()()))))()((((()))),0,25
()(()((()()))(()())()()()()(())),1,32
)((()))(((),0,11
()()()(())((((()(()))))),1,24
()())()()))(()())(((()(,0,23
()()(())()(()(()(())())(()())),1,30
((()))(())(((()())()(()()()()))),1,32
()()()((())((()))(()()))()()(),1,30
(()(()())(((())))),1,18
(()(((()(()(())))))),1,20
(()(()))))()())((())(()()()(,0,28
)()((()()()()))(())(,0,20
())())))(((,0,11
()()(())((()()))()(()),1,22
()()(()(),0,9
(((()()()()((()))(())))),1,24
(()())()(((())))()(),1,20
()()(()(()))(()()()),1,20
()(((()())))(()))())((()))((),0,29
((()()(()))())(()((())))()(),1,28
()((())(()(((()(())))))),1,24
))))())))((()())))()(,0,21
()()(()()(((((()))()())))),1,26
((()()()))()))((()())(,0,22
()()(()()((((((()())(()))))))),1,30
)())))(())))())))(())))())))),0,29
)))))()()()))())()))))(,0,23
()()()(()(())(())),1,18
()()(()()(())(((((((()())))))))),1,32
)(()()(((()()((,0,15
((()))(((()()()()))),1,20
((()()((())(()()()((())))))),1,28
())(((())()(())()),0,18
)(())))())()(((()(())(())(,0,26
(())()()(())(())()((()))(((()))),1,32
()((()((()))()(()))()),1,22
((((((())()())())))),1,20
))()()())))((,0,13
()()()((()()))((()))()()(((()))),1,32
(()(()()))))),0,13
)))()()(()(((()()((()))),0,24
))((()))()(((((())()))),0,23
(()()()()((()(((()())))))),1,26
)())((((()))()())()(,0,20
(()(())((()()))),1,16
()(()(()())()())(((()()(()())))),1,32
(())(())(())()(()()),1,20
()((()())())))())(()(,0,21
)(()((()())))((()())(((()((,0,27
(((((())))(()))()),1,18
(()))))((()(()(()())()(()))((()),0,32
((((()(()((((()())((())))))))))),1,32
)))())(((((((()()((,0,19
()()))))(()))(((,0,16
(())(()((,0,9
((())((((()))))(())),1,20
)())()))())))((())()((),0,23
()()))(())(())((,0,16
((())))((()),0,12
()))()))(,0,9
((((())())()((()))))(),1,22
()()()((((((())))))),1,20
(()()((((((()(()))()))(()))))),1,30
(())()()()()()(()())((()()(()))),1,32
((()(())()))()((()()))(),1,24
((()))()()(((())((())))),1,24
()((()(((((()(())))))))),1,24
(()(())())()()(()),1,18
((()))()))))))(()()(()(,0,23
)()()((()(()()))())()((),0,24
)))()))),0,8
(()())((())((())())),1,20
()((())(((())()))()(())(),0,25
(((((((())())(((()),0,19
()()(())()()()(()(())()(())(())),1,32
)((()))())))),0,13
(((())(()(()))))(()((())))(),1,28
((()))()())(()))(()(())()()(,0,28
(((())((())((()()(()())())))())),1,32
((()((()((()()())((()))(())))))),1,32
(())()(())()((()))(()()),1,24
()()()(())((()((())))),1,22
((())()(()))()()()(())(()),1,26
(())((())())()()(()())((()())),1,30
(((()(()()())))()())()(),1,24
()(()))()(,0,10
(()()())),0,9
(())((((()))(((())()())))())(),1,30
()()(((()())))()()()(),1,22
())(()((()(,0,11
))((()(())((,0,12
)((()()()()((()))))()((),0,24
(()()())()(),1,12
(())(()()()((()(())(()(())()(((,0,31
())(())()())(((),0,16
(()())()()(()())(((())()))(()),1,30
(((()(((())((,0,13
(()((()))())()()(((()))),1,24
))()(()()((()(()))()()())((,0,27
)())(((())(()))())(,0,19
)))((()((,0,9
()((((())(()(()()(())))))),1,26
()()()()()()(())(((()))),1,24
(()())((())(()())((())(((()))))),1,32
((((((())())())))),1,18
))(()))))()(((((,0,16
)))())))))(()))))((,0,19
)((())))(()))))(),0,17
()))))))()))())(((((())()))(,0,28
(()((((((((()()()))))))))),1,26
)()(()(()(,0,10
)(((()(((,0,9
()(())()())(((()()())))))(),0,27
()))(())()()),0,13
(())))(()()(())()())((()),0,25
(((()())()())),1,14
(()())()()())))())()))((()),0,27
()())())()((,0,12
())()()()()((((((()))((,0,23
((()(()))))()))()()(())(()()((,0,30
()()()(()(((())))()),1,20
(())))())()()(()))()()()))(,0,27
(())()((()(())()((()()((())))))),1,32
)())))))(()()((()))))()(()()),0,29
()((((()))((())((()(()()),0,25
()(((()))())(())((((((()))))())),1,32
()()()()(((())(()))())(()((()))),1,32
))())()))(((()()()())()()(()(,0,29
((()())()))((),0,14
(())()(()())()(),1,16
)())))()(((((()()()((())((((),0,29
(((((())(,0,9
((((())()(()(()))()))),1,22
(()())(()(((()(((()())))())))),1,30
()())()(()()())(()()))()())((()(,0,32
(()(())(())()()(())))(,0,22
))))((((()(()()))(,0,18
()((())((())()))((()))(((()))),1,30
))))())()(())())((),0,19
()))))))(((())()()()())))(()()(,0,31
((((((((()(()(((())))))))))))),1,30
)())()((()))()((((()())()())(),0,30
())))(((()()()((())(())(()))()(),0,32
((()(())))(()(()(()((()))))),1,28
()()()()()((())(())())(()),1,26
()()(())((()()(())()()())),1,26
((()))(((()()()((()()))))),1,26
((()())(()))))(((((((())()())(),0,31
((()(()()))(())),1,16
)(()(())())()()(((()(()))),0,26
(((())))()()()(())(())(),1,24
(()(()((()())))(())())()(()),1,28
)(()(())()(()()))(,0,18
()(()())()(((())()(()()))())()(),1,32
((()()(((((())())))))),1,22
())(((())())))((()(),0,20
)()()()(()())())(()))(())(),0,27
((())()((()())),0,15
(())(())(((()))),1,16
))))(())(()))(())()(((((,0,24
)()()()()()()())()(())()),0,25
))))(()))((())),0,15
((((()(()())(()(()())()))))),1,28
((())())())())(((),0,18
(((((()((())())))))),1,20
()(((()(())))),1,14
()()()(()()(())()()()(())(())),1,30
(((((()()()((()()))))))),1,24
()()()(()((()()((((((()))))))))),1,32
((()()((((()())(())))))),1,24
((())))(())))(()((,0,18
)))))((((()),0,12
(()(())()(())))())))((((),0,25
((()(()()((()())(())()))())()),1,30
()(()(((((((()))(()))))))),1,26
()((((())((())()))())((()()()))),1,32
)((())((()))())((),0,18
()()()()((()(()()(()())))),1,26
((()(((()((())))())))),1,22
((())(((())()(()(()(((()((),0,27
()(()((()((())(()))))),1,22
))))((()))(()(((()))((((()())),0,30
()(()(()))((())((()()))),1,24
(((()))))))()()()(()))((())(,0,28
()()()(()())()()((()())),1,24
((())(()))((()()))(()()),1,24
((()))()()(()),1,14
()((()()))()()()(())()(()()),1,28
()())()(((()()(()()()))((()(()(,0,31
(()()()())()())())((,0,20
()((())())))((()()((())),0,24
())())()((()((()()))()(())(()),0,30
()()(()(((()(())((())))))),1,26
(()(())(((())(())))()))())()()),0,31
(()(()(((()))()(),0,17
()()()((()((())))),1,18
()(((()(((())))(())(())))),1,26
))))()))())((((()((()(()())(,0,28
(()())()()()()(()((()))()),1,26
)()))(()))((()))(,0,17
)(((()))((()()(,0,15
)())())(())))()(,0,16
((())(()((()())))))(,0,20
))(()(()(((()())((,0,18
()((()(()(())())(())()))()(())(),1,32
())((()))(()),0,13
(()(())(())(())())()(),1,22
)))()(((((())(),0,15
((()((()()()))))())(,0,20
((())()((()))(())()))(()())(,0,28
((()))()((()((()(((())())))))),1,30
()(()((((()())())()(())))),1,26
)))()))(((()()))()((()(())(,0,27
()(((()((()()())()(((,0,21
(((((()(()))()()(((()))))))),1,28
()(()())()()()()()(())()()(),1,28
()(((()))))()(())(())()(,0,24
()()()()(())(()()(((())))),1,26
()(((())(((())))(()))),1,22
((((()()))(()((()))((()(())))))),1,32
((()()()(()()(),0,15
((()((()((()((()())(())))))))),1,30
(())(()(()()(())()()))(((()))),1,30
(((()()))))((,0,13
()(())()((((((),0,15
()(())()(())()()(()(()))(()),1,28
()()()(())(((()(()()))((())))),1,30
()((()((()))()())),1,18
))))()(((()(()(())(()),0,22
(((((()()())))()())),1,20
()()((((()))()())),1,18
()())()))((()(,0,14
(()())()()(())()()(),1,20
))()(())(()((),0,14
(()()())((((())())()))()(),1,26
)(()()(((()(())((()(),0,21
)(((()))))(((,0,13
()()()(())(((())((())))),1,24
()(())()()()()(()),1,18
((())())(())()()()()(()),1,24
(())(((())())(()())),1,20
)()))))))(()(())))),0,19
((()))()((()()())),1,18
(())()()(())()(((())))()()(),1,28
()(()))))(()),0,13
)(())))((((())(())()())(,0,24
))())())((()(())(()((,0,21
()(()(((()))(()))()()()),1,24
)(((())(((()))((()()(())())()))),0,32
()(()))(()))()),0,15
()()(()()()())()()(())(),1,24
()()((())()),1,12
()(()(())(((),0,13
()))((()()(())()),0,17
)())))(()())((())()))(((((,0,26
(()()(((()))())())((())()),1,26
((((())((()(())))))),1,20
)()())())(())(()()))))()()()()),0,31
()()()((())((()))),1,18
)(((())()((((()))()((()(),0,25
(())()((((())))))()(()()(()),0,28
()(())()()()()()()()()(()),1,26
)((((())()()((())(()))())())())(,0,32
(()(()())((()())(())()(()()))()),1,32
((()())(()))()((()()((()())))),1,30
)))())())(((())(()(((((()()))),0,30
()))(()(()((()()((((())())(((((,0,31
()((((())(()((())()(())))))),1,28
(((()(()((()))(())()(())(()))()),0,32
((()(((()))(),0,13
))((())())(()),0,14
(()()()(()(()()()))),1,20
(()((())))((()))())))))(((((,0,28
(()((((())))(((()))))),1,22
(()()())()(())((())(())),1,24
(())(()()())()()()(()),1,22
())(()))))()(((,0,15
(()()))(()()((((((),0,19
)))(()()(())))))))(((((((((((,0,29
(((())(()))(())()(()()((())))),1,30
)))(()))(()((()))())()((((,0,26
(((()()((()())())(((((),0,23
()()((())(()(())(())))(()())(()),1,32
()((((()())))),1,14
(())()(())((()()((()())))),1,26
)((()(())())))((),0,17
)(((())))()((()))(((())))(,0,26
(()((((())))())))(((((()(()(),0,29
((()((()))))(()()(((()()))(()))),1,32
()()()(())()(()()),1,18
(())()(()(((()(()))))()),1,24
)(((())())(())))(((,0,19
()()(())()(()())()()(),1,22
()(()(((())((((()))()))))),1,26
))((()))((())()(,0,16
(()(()(())())()((())))()))((,0,28
)(()())(()(())()(()))(((),0,25
)))))((((()(,0,12
(()()())((((())((()),0,20
((())())))()()))(),0,18
(())())())())))()()((,0,21
()()(()())()()()(()),1,20
()((()))()())((),0,16
))))(()))))()(()(((((())())((,0,29
()(()())()(((((())())))),1,24
()((()()()()()()(())(()))),1,26
)(()))(()))(()()(((()))())(((),0,30
)(()(((()()()))((()())()())),0,28
(())()(()())()()(())()()()()(),1,30
))))))))((())(())()()))()((,0,27
)))((()())(()((()(((()()(,0,25
)()(()(())()))((,0,16
()(()((()(())(()(()))))),1,24
((((()))((()))((()((()))()))())),1,32
(())))()))(((((()),0,18
(()(()))()()()()()(()(((())))),1,30
(((()))))))))()())((((()))((,0,28
((()))()()((()))(),1,18
)()))())((((())()))(((,0,22
(()(()()(((((((())()),0,21
()((())(())(),0,13
(()()())(()()(((()())))()())(),1,30
(((())(()())()((()))())())(()),1,30
(()())((()()))()()(()()),1,24
()()()(()())(())()()(()),1,24
(((()((((()(()(()))))))))),1,26
))()()()((()()(())(,0,19
()((())(()))))()(())))(((,0,25
((()(()(())(),0,13
()(((())((((((()()(()))))))))),1,30
(()()((())(((()))())()(()()(),0,29
()))())((((())(,0,15
)())))()(()((,0,13
((())((((((())()())))))),1,24
)()((()())())(,0,14
(()()())()())(((()()(,0,21
()(())()((((()()()())()))),1,26
(((())()((((()(((())))())))))),1,30
(((()((()((()()))(())))))),1,26
()((()))((())())()()(()),1,24
(())()(()()((())(())))()()((())),1,32
(((())()))))))(()())((((()(()()),0,32
()((((())))((()()((((()))))))),1,30
(()((())))(()()),1,16
())())))))))((()((((,0,20
((()(((())())((())())()))()()),1,30
((((()))(((((()()((()))))))))),1,30
(())(()))()((()))(()()(),0,24
((()))((()())),1,14
))()(())((((),0,13
)))(()))(()(()(((((()()))),0,26
())(()((()))()),0,15
((((()()(())())))),1,18
()(()())((()((()())))),1,22
(((()()(((())()(())))((())(((,0,29
(())((((())()())))()(()),1,24
()((()())())()(())()(()),1,24
(()(()()()((),0,13
)))()(((()()))())((())))((()()((,0,32
()()()()(()())()((()))(()()()),1,30
(()(())((())))()()(()),1,22
()((())(()())),1,14
()(()())(()(())((()()))),1,24
)((((()((()())))())),0,20
()((((((()(((()))))))))),1,24
()(()(()())())()(),1,18
()()()(())()()((())),1,20
()(())((())(()(()))),1,20
(())((((()))()()))()()()(),1,26
()))((()()))(((),0,16
)))()(()))(()))(,0,16
()()(((((()(()((()(()))))))))),1,30
()(()(()()))(()),1,16
())))(()(())),0,13
((())(()(()())(((())())))),1,26
()(()())()(()(()())),1,20
))()((())(()))())(((((((())))))(,0,32
)(())()))(()))))()())((())),0,27
())))()(()((())()(()()))(((()((,0,31
()()()()()(())(()())(()(((())))),1,32
()())()((((()))))(())())))((),0,29
)(())(()(())(),0,14
((()()))((()())())()()(()),1,26
)())((((((((()()()(())()((()),0,29
((())(()))()((()))(()()),1,24
))((()((())((())(()(),0,21
(()()())()((())))(()))((,0,24
(()((())))(()))(()(,0,19
()()()()(((()()))(((()())()))),1,30
(()(()())())(()(()()((()(,0,25
)))((()))())(((()((())()((,0,26
)))()())))(())((),0,17
()((()())))(,0,12
)))))))))((((()()))((())))()((,0,30
()(())(((((()()))()()))),1,24
((())))))()()))(((((,0,20
)(()))()(())(((()))(,0,20
(((()))()(())),1,14
((())()()(()))(),1,16
)((((()((((()()(()(,0,19
()(())()(((())()())()),1,22
)()(()((()(())))()()(),0,22
)(()(()()())())()))((()(,0,24
)))(((())))((()(,0,16
(()()())()(())()()(()),1,22
(()(())()(())()()),1,18
()()()()(()),1,12
((())))(((())))(()((),0,21
(())(()())(((()())))((())),1,26
()()()()()((((()()())))())(()),1,30
((((()()())((()))()))),1,22
(())()()()((()))()(()),1,22
))(((()()(())),0,14
)(()(((((),0,10
()(())((((()()(()(())()))))(())),1,32
()(()(())()))()())))(((())(()(),0,31
(()())(((()())))((())()),1,24
()(()())()((()))()(())()()(()),1,30
)))()))(())())))(()))(,0,22
())((()))((()),0,14
(((()((())))())()))()()((),0,26
)))(((((())((()()())(((((,0,25
)()))((()()((()))(((()))()((())),0,32
)(((()()())),0,12
()(((()()(()))()((()(()))))),1,28
()((())((()(()))))()((())),1,26
()()(()())((()))(()(()())),1,26
()(()(()))())))()(()())(()(((),0,30
(())()(())(),1,12
)()()()(()()())())))))()(((,0,27
(()()()())()(())(())()(()()),1,28
()(())))(()(()()()()(()),0,24
(())((()()())())(())()()()()()(),1,32
())))()((()(()(()(())()(()(((()(,0,32
)))))(())(()(),0,14
((())()(),0,9
()(())(())()((())((((()()))))),1,30
((()())())()(())((()(())))(()),1,30
()()()(())(()()()()((()()()))),1,30
((()((((())(())))))),1,20
(())()((()(())))()))(()((((),0,28
))((()(()()()))()()(,0,20
)()()))))(((()(()(()))((),0,25
))))()(()(()((()))((()(,0,23
)(()))((()))(()))(())(((())((()),0,32
()()(())()(()(())())()((()))(),1,30
()(())(())()(())()()()(())(),1,28
()))((((()((((((),0,17
(((())))(()(((())))),1,20
